Key	RU	EN
CircleTool_description	Кликните там, где хотите создать центр окружности, после чего можно задать радиус перемещнием мыши и кликнуть мышью для завершения создания.	click where you want to create the center point and then you can control the radius of the circle by moving mouse and fix it by clicking left button
CircleTool_button	Окружн	Circle
SaveTool_name	Сохранить	SaveTool
SaveTool_description	Выберите место сохранения файла	
SaveTool_button	Сохр	Save
FunctionTool_name	FunctionTool	FunctionTool
FunctionTool_description	click where you want to create the beginning and the ending points of the segment defined by arbitrary equations	click where you want to create the beginning and the ending points of the segment defined by arbitrary equations
FunctionTool_button	Функц	Function
RevolveTool_name	Тело Вращения	RevolveTool
RevolveTool_description	Выберите точку и линию, чтобы задать ось вращения. Линия задает направление оси вращения, а точка задает положение.	click some point first and then click line to define an axis. The point will be origin of the axis, and line will be direction of an axis.
RevolveTool_button	Вращение	Revolve
PolygonTool_name	Правильный Многоугольник	PolygonTool
PolygonTool_description	Задайте количество углов многоугольника, после чего кликните там, где хотите создать ценр полигона, после чего пермещением мыши задайте размер многоугольника, кликните мышью для завершения.	click where you want to create center of polygon then you can control size of polygon by moving mouse cursor.
PolygonTool_button	Полигон	Polygon
EquationTool_name	Произвольное Уравнение	EquationTool
EquationTool_description	Кликните там, где хотите поместить уравнение. После чего его можно выбрать и в окне опций изменять выражение. Поддерживаются присваивания и неравенства. (<=>). Можно объявлять перменные, которые можно использовать в других уравнениях или в качестве значений для размерных ограничений и углов.	click a entity to constrain length and then click where you want to create dimension value. You can change dimension value by double clicking it when MoveTool is active.
EquationTool_button	Уравн	Equation
StyleEditTool_name	Редактирование Стиля	StyleEditTool
StyleEditTool_description	Измените опции редактируемого стиля	change options of selected style
StyleEditTool_button	Редакт	Edit
EqualTool_name	Равеноство	EqualTool
EqualTool_description	Выберите два разных объекта или два угловых ограничения	hover and click two different entities or two angle constraints.
EqualTool_button	Равен	Equal
StyleRemoveTool_name	Удаление Стиля	StyleRemoveTool
StyleRemoveTool_description	Удаляет стиль	Styles
StyleRemoveTool_button	Удалить	Remove
MidPointTool_name	Середина	MidPointTool
MidPointTool_description	Выберите точку и элемент	hover and click point and arbitarary entity
MidPointTool_button	Серед	MidPoint
MoveTool_name	Перемещение	MoveTool
MoveTool_description	Наведите курсор на объект и удерживайте левую кнопку мыши, чтобы переместить его. Дважды щелкните по любому размерному значению, чтобы отредактировать его. Щелкните значок справки для получения дополнительной информации.	hover over an entity, hold down left mouse button to move it. Double click on any dimension to edit. Click on Help icon for additional info.
MoveTool_button	Перемещ	Move
SketchFeature_SketchFeature	Эскиз	SketchFeature
SketchFeature_Solve Parent	Решать с родит.	Solve Parent
SketchFeature_Source Licensing	Лицензирование кода	Source Licensing
SketchFeature_Feedback	Обратная связь	Feedback
Options_Options	Опции	Options
Options_New Filename	Создать Новый	New Filename
Options_Create	Создать	Create
Options_Format	Формат	Format
Options_Xml	Xml	Xml
Options_Specify Filename	Задайте имя файла	Specify Filename
Options_Save	Сохранить	Save
Settings_Settings	Опции	Settings
Settings_File Type	Тип файла	File Type
Settings_Stl	Stl	Stl
Settings_Constraints	Ограничения	Constraints
Settings_Dimensions	Размеры	Dimensions
Settings_Construction	Для справок	Construction
Settings_TextFillupISP	Заполнить ISP	TextFillupISP
Settings_TextFillupCSV	Заполнить CSV	TextFillupCSV
Settings_Export	Экспорт	Export
DetailSettings_DetailSettings	Опции	DetailSettings
DetailSettings_Length Measurement	Единицы измер.	Length Measurement
DetailSettings_Millimetre	Миллиметры	Millimetre
DetailSettings_Show Constraints	Показ. Огранич.	Show Constraints
DetailSettings_Show Dimensions	Показ. размеры	Show Dimensions
DetailSettings_Display Points	Показ. точки	Display Points
DetailSettings_All	All	All
DetailSettings_Autoconstraining	Autoconstraining	Autoconstraining
DetailSettings_Drawing Dimensions	Drawing Dimensions	Drawing Dimensions
DetailSettings_Check Sketch Errors	Check Sketch Errors	Check Sketch Errors
DetailSettings_Detect Contours	Detect Contours	Detect Contours
DetailSettings_Use Mesh Provider	Use Mesh Provider	Use Mesh Provider
DetailSettings_Suppress Solver	Выкл. Солвер	Suppress Solver
DetailSettings_Mesh Provider	Mesh Provider	Mesh Provider
DetailSettings_Provider Format	Provider Format	Provider Format
DetailSettings_JSON	JSON	JSON
DetailSettings_Save Translation	Сохранить перевод	Save Translation
PointEntity_PointEntity	Точка	PointEntity
PointEntity_X	X	X
PointEntity_Y	Y	Y
PointEntity_Z	Z	Z
PointEntity_Pos	Поз.	Pos
LineEntity_LineEntity	Отрезок	LineEntity
ArcEntity_ArcEntity	Дуга	ArcEntity
CircleEntity_CircleEntity	Окружность	CircleEntity
CircleEntity_R	R	R
CircleEntity_Angle Fixed	Фикс. Угол	Angle Fixed
CircleEntity_Radius	Радиус	Radius
CircleEntity_Angle	Угол	Angle
FunctionEntity_FunctionEntity	Функция	FunctionEntity
FunctionEntity_X	X	X
FunctionEntity_Y	Y	Y
FunctionEntity_Subdivision	Сегменты	Subdivision
FunctionEntity_T Begin Fixed	T нач. фикс.	T Begin Fixed
FunctionEntity_T End Fixed	T конц. Фикс.	T End Fixed
FunctionEntity_T Begin	T нач	T Begin
FunctionEntity_T End	T конц	T End
SplineEntity_SplineEntity	Кривая	SplineEntity
EllipseEntity_EllipseEntity	Эллипс	EllipseEntity
EllipseEntity_R 0	R 0	R 0
EllipseEntity_R 1	R 1	R 1
EllipseEntity_Radius 0	Радиус 0	Radius 0
EllipseEntity_Radius 1	Радиус 1	Radius 1
PolygonOptions_PolygonOptions	Многоугольник	PolygonOptions
PolygonOptions_Corners	Углов	Corners
Options_Text	Текст	Text
TextEntity_TextEntity	Текст	TextEntity
TextEntity_Text	Text	Text
TextEntity_Font Size	Разм. Шрифта	Font Size
TextEntity_Margin	Отступ	Margin
TextEntity_Alignment	Выравнивание	Alignment
TextEntity_Scale	Масштабирование	Scale
TextEntity_Stretch	Растягивание	Stretch
TextEntity_Fit	По размеру	Fit
TextEntity_Left	Лево	Left
TextEntity_Right	Право	Right
TextEntity_Top	Верх	Top
TextEntity_TopLeft	ВерхЛево	TopLeft
TextEntity_TopRight	ВерхПраво	TopRight
TextEntity_Bottom	Низ	Bottom
TextEntity_BottomLeft	НизЛево	BottomLeft
TextEntity_BottomRight	НизПраво	BottomRight
TextEntity_Center	Центр	Center
OffsetEntity_OffsetEntity	Кривая Смещения	OffsetEntity
OffsetEntity_Offset	Смещение	Offset
OffsetEntity_Subdivision	Сегменты	Subdivision
ExtrusionFeature_ExtrusionFeature	Тело Выдавливания	ExtrusionFeature
ExtrusionFeature_Extrude	Значение	Extrude
ExtrusionFeature_Operation	Операция	Operation
ExtrusionFeature_Union	Объединение	Union
ExtrusionFeature_Solve Parent	Решать с родит.	Solve Parent
ExtrusionFeature_Source Licensing	Линезирование исходного кода	Source Licensing
ExtrusionFeature_Feedback	Обратная связь	Feedback
ExtrusionFeature_Difference	Вычитание	Difference
ExtrusionFeature_Intersection	Пересечение	Intersection
ExtrusionFeature_Assembly	Сборка	Assembly
RevolveFeature_RevolveFeature	Тело Вращения	RevolveFeature
RevolveFeature_Angle	Угол	Angle
RevolveFeature_Step	Шаг	Step
RevolveFeature_Mesh Angle Step	Угл. Шаг. Меша	Mesh Angle Step
RevolveFeature_Step Fixed	Фикс. Шаг	Step Fixed
RevolveFeature_Angle Fixed	Фикс. Угол	Angle Fixed
RevolveFeature_Operation	Операция	Operation
RevolveFeature_Union	Объединение	Union
RevolveFeature_Solve Parent	Решать с родит.	Solve Parent
RevolveFeature_Source Licensing	Лицензирование исходного кода	Source Licensing
RevolveFeature_Feedback	Обратная связть	Feedback
Settings_Dxf	Dxf	Dxf
Settings_Autoconstrain	Autoconstrain	Autoconstrain
Settings_Choose Layers	Choose Layers	Choose Layers
Settings_Import	Import	Import
PointOn_PointOn	PointOn	PointOn
PointOn_Expression	Expression	Expression
PointOn_Reference	Reference	Reference
PointOn_Solvable	Solvable	Solvable
PointOn_Label X	Label X	Label X
PointOn_Label Y	Label Y	Label Y
PointOn_Label Z	Label Z	Label Z
PointOn_Dimension	Dimension	Dimension
PointOn_Enabled	Enabled	Enabled
PointOn_Draw Link	Draw Link	Draw Link
PointsDistance_PointsDistance	PointsDistance	PointsDistance
PointsDistance_Expression	Expression	Expression
PointsDistance_Reference	Reference	Reference
PointsDistance_Solvable	Solvable	Solvable
PointsDistance_Label X	Label X	Label X
PointsDistance_Label Y	Label Y	Label Y
PointsDistance_Label Z	Label Z	Label Z
PointsDistance_Dimension	Dimension	Dimension
PointsDistance_Enabled	Enabled	Enabled
PointsDistance_Draw Link	Draw Link	Draw Link
AngleConstraint_AngleConstraint	AngleConstraint	AngleConstraint
AngleConstraint_Expression	Expression	Expression
AngleConstraint_Supplementary	Supplementary	Supplementary
AngleConstraint_Reference	Reference	Reference
AngleConstraint_Solvable	Solvable	Solvable
AngleConstraint_Label X	Label X	Label X
AngleConstraint_Label Y	Label Y	Label Y
AngleConstraint_Label Z	Label Z	Label Z
AngleConstraint_Dimension	Dimension	Dimension
AngleConstraint_Enabled	Enabled	Enabled
AngleConstraint_Draw Link	Draw Link	Draw Link
Length_Length	Length	Length
Length_Expression	Expression	Expression
Length_Reference	Reference	Reference
Length_Solvable	Solvable	Solvable
Length_Label X	Label X	Label X
Length_Label Y	Label Y	Label Y
Length_Label Z	Label Z	Label Z
Length_Dimension	Dimension	Dimension
Length_Enabled	Enabled	Enabled
Length_Draw Link	Draw Link	Draw Link
Parallel_Parallel	Parallel	Parallel
Parallel_Option	Option	Option
Parallel_Antidirected	Antidirected	Antidirected
Parallel_Enabled	Enabled	Enabled
Parallel_Draw Link	Draw Link	Draw Link
Parallel_Codirected	Codirected	Codirected
Parallel_Any	Any	Any
Perpendicular_Perpendicular	Perpendicular	Perpendicular
